age	agir+V+PRS+3+SG
agem	agir+V+PRS+3+PL
ages	agir+V+PRS+2+SG
agia	agir+V+IMPF+3+SG
agia	agir+V+IMPF+1+SG
agiam	agir+V+IMPF+3+PL
agias	agir+V+IMPF+2+SG
agimos	agir+V+PRS+1+PL
agirei	agir+V+FUT+1+SG
agireis	agir+V+FUT+2+PL
agiremos	agir+V+FUT+1+PL
agiria	agir+V+COND+3+SG
agiria	agir+V+COND+1+SG
agiriam	agir+V+COND+3+PL
agirias	agir+V+COND+2+SG
agirá	agir+V+FUT+3+SG
agirás	agir+V+FUT+2+SG
agirão	agir+V+FUT+3+PL
agiríamos	agir+V+COND+1+PL
agiríeis	agir+V+COND+2+PL
agis	agir+V+PRS+2+PL
agíamos	agir+V+IMPF+1+PL
agíeis	agir+V+IMPF+2+PL
aja	agir+V+SBJR+3+SG
aja	agir+V+SBJR+1+SG
ajais	agir+V+SBJR+2+PL
ajam	agir+V+SBJR+3+PL
ajamos	agir+V+SBJR+1+PL
ajas	agir+V+SBJR+2+SG
ajo	agir+V+PRS+1+SG
coçáveis	coçar+V+IMPF+2+PL
coçávamos	coçar+V+IMPF+1+PL
coço	coçar+V+PRS+1+SG
coçavas	coçar+V+IMPF+2+SG
coçavam	coçar+V+IMPF+3+PL
coçava	coçar+V+IMPF+1+SG
coçava	coçar+V+IMPF+3+SG
coças	coçar+V+PRS+2+SG
coçaríeis	coçar+V+COND+2+PL
coçaríamos	coçar+V+COND+1+PL
coçarão	coçar+V+FUT+3+PL
coçarás	coçar+V+FUT+2+SG
coçará	coçar+V+FUT+3+SG
coçarias	coçar+V+COND+2+SG
coçariam	coçar+V+COND+3+PL
coçaria	coçar+V+COND+1+SG
coçaria	coçar+V+COND+3+SG
coçaremos	coçar+V+FUT+1+PL
coçareis	coçar+V+FUT+2+PL
coçarei	coçar+V+FUT+1+SG
coçamos	coçar+V+PRS+1+PL
coçam	coçar+V+PRS+3+PL
coçais	coçar+V+PRS+2+PL
coça	coçar+V+PRS+3+SG
coces	coçar+V+SBJR+2+SG
cocemos	coçar+V+SBJR+1+PL
cocem	coçar+V+SBJR+3+PL
coceis	coçar+V+SBJR+2+PL
coce	coçar+V+SBJR+1+SG
coce	coçar+V+SBJR+3+SG
pagáveis	pagar+V+IMPF+2+PL
pagávamos	pagar+V+IMPF+1+PL
pagues	pagar+V+SBJR+2+SG
paguemos	pagar+V+SBJR+1+PL
paguem	pagar+V+SBJR+3+PL
pagueis	pagar+V+SBJR+2+PL
pague	pagar+V+SBJR+1+SG
pague	pagar+V+SBJR+3+SG
pago	pagar+V+PRS+1+SG
pagavas	pagar+V+IMPF+2+SG
pagavam	pagar+V+IMPF+3+PL
pagava	pagar+V+IMPF+1+SG
pagava	pagar+V+IMPF+3+SG
pagas	pagar+V+PRS+2+SG
pagaríeis	pagar+V+COND+2+PL
pagaríamos	pagar+V+COND+1+PL
pagarão	pagar+V+FUT+3+PL
pagarás	pagar+V+FUT+2+SG
pagará	pagar+V+FUT+3+SG
pagarias	pagar+V+COND+2+SG
pagariam	pagar+V+COND+3+PL
pagaria	pagar+V+COND+1+SG
pagaria	pagar+V+COND+3+SG
pagaremos	pagar+V+FUT+1+PL
pagareis	pagar+V+FUT+2+PL
pagarei	pagar+V+FUT+1+SG
pagamos	pagar+V+PRS+1+PL
pagam	pagar+V+PRS+3+PL
pagais	pagar+V+PRS+2+PL
paga	pagar+V+PRS+3+SG
seca	secar+V+PRS+3+SG
secais	secar+V+PRS+2+PL
secam	secar+V+PRS+3+PL
secamos	secar+V+PRS+1+PL
secarei	secar+V+FUT+1+SG
secareis	secar+V+FUT+2+PL
secaremos	secar+V+FUT+1+PL
secaria	secar+V+COND+3+SG
secaria	secar+V+COND+1+SG
secariam	secar+V+COND+3+PL
secarias	secar+V+COND+2+SG
secará	secar+V+FUT+3+SG
secarás	secar+V+FUT+2+SG
secarão	secar+V+FUT+3+PL
secaríamos	secar+V+COND+1+PL
secaríeis	secar+V+COND+2+PL
