compra comprar+V+PRS+3+SG
comprais comprar+V+PRS+2+PL
compram comprar+V+PRS+3+PL
compramos comprar+V+PRS+1+PL
comprará comprar+V+FUT+3+SG
comprara comprar+V+PQP+1+SG
comprara comprar+V+PQP+3+SG
compraram comprar+V+PQP+3+PL
compráramos comprar+V+PQP+1+PL
comprarão comprar+V+FUT+3+PL
comprarás comprar+V+FUT+2+SG
compraras comprar+V+PQP+2+SG
comprar comprar+V+SBJF+1+SG
comprar comprar+V+SBJF+3+SG
comprardes comprar+V+SBJF+2+PL
comprarei comprar+V+FUT+1+SG
comprareis comprar+V+FUT+2+PL
compráreis comprar+V+PQP+2+PL
comprarem comprar+V+SBJF+3+PL
compraremos comprar+V+FUT+1+PL
comprares comprar+V+SBJF+2+SG
compraria comprar+V+COND+1+SG
compraria comprar+V+COND+3+SG
comprariam comprar+V+COND+3+PL
compraríamos comprar+V+COND+1+PL
comprarias comprar+V+COND+2+SG
compraríeis comprar+V+COND+2+PL
comprarmos comprar+V+SBJF+1+PL
compras comprar+V+PRS+2+SG
comprasse comprar+V+SBJP+1+SG
comprasse comprar+V+SBJP+3+SG
comprásseis comprar+V+SBJP+2+PL
comprassem comprar+V+SBJP+3+PL
comprássemos comprar+V+SBJP+1+PL
comprasses comprar+V+SBJP+2+SG
comprava comprar+V+IMPF+1+SG
comprava comprar+V+IMPF+3+SG
compravam comprar+V+IMPF+3+PL
comprávamos comprar+V+IMPF+1+PL
compravas comprar+V+IMPF+2+SG
compráveis comprar+V+IMPF+2+PL
compre comprar+V+SBJR+1+SG
compre comprar+V+SBJR+3+SG
compreis comprar+V+SBJR+2+PL
comprem comprar+V+SBJR+3+PL
compremos comprar+V+SBJR+1+PL
compres comprar+V+SBJR+2+SG
compro comprar+V+PRS+1+SG
partais partir+V+SBJR+2+PL
partamos partir+V+SBJR+1+PL
partam partir+V+SBJR+3+PL
parta partir+V+SBJR+1+SG
parta partir+V+SBJR+3+SG
partas partir+V+SBJR+2+SG
partem partir+V+PRS+3+PL
parte partir+V+PRS+3+SG
partes partir+V+PRS+2+SG
partíamos partir+V+IMPF+1+PL
partiam partir+V+IMPF+3+PL
partia partir+V+IMPF+1+SG
partia partir+V+IMPF+3+SG
partias partir+V+IMPF+2+SG
partíeis partir+V+IMPF+2+PL
partimos partir+V+PRS+1+PL
partíramos partir+V+PQP+1+PL
partiram partir+V+PQP+3+PL
partirão partir+V+FUT+3+PL
partirá partir+V+FUT+3+SG
partira partir+V+PQP+1+SG
partira partir+V+PQP+3+SG
partirás partir+V+FUT+2+SG
partiras partir+V+PQP+2+SG
partirdes partir+V+SBJF+2+PL
partirei partir+V+FUT+1+SG
partireis partir+V+FUT+2+PL
partíreis partir+V+PQP+2+PL
partiremos partir+V+FUT+1+PL
partirem partir+V+SBJF+3+PL
partires partir+V+SBJF+2+SG
partiríamos partir+V+COND+1+PL
partiriam partir+V+COND+3+PL
partiria partir+V+COND+1+SG
partiria partir+V+COND+3+SG
partirias partir+V+COND+2+SG
partiríeis partir+V+COND+2+PL
partirmos partir+V+SBJF+1+PL
partir partir+V+SBJF+1+SG
partir partir+V+SBJF+3+SG
partis partir+V+PRS+2+PL
partísseis partir+V+SBJP+2+PL
partíssemos partir+V+SBJP+1+PL
partissem partir+V+SBJP+3+PL
partisse partir+V+SBJP+1+SG
partisse partir+V+SBJP+3+SG
partisses partir+V+SBJP+2+SG
parto partir+V+PRS+1+SG
vendais vender+V+SBJR+2+PL
vendamos vender+V+SBJR+1+PL
vendam vender+V+SBJR+3+PL
vendas vender+V+SBJR+2+SG
venda vender+V+SBJR+1+SG
venda vender+V+SBJR+3+SG
vendeis vender+V+PRS+2+PL
vendemos vender+V+PRS+1+PL
vendem vender+V+PRS+3+PL
vendêramos vender+V+PQP+1+PL
venderam vender+V+PQP+3+PL
venderão vender+V+FUT+3+PL
venderás vender+V+FUT+2+SG
venderas vender+V+PQP+2+SG
venderá vender+V+FUT+3+SG
vendera vender+V+PQP+1+SG
vendera vender+V+PQP+3+SG
venderdes vender+V+SBJF+2+PL
vendereis vender+V+FUT+2+PL
vendêreis vender+V+PQP+2+PL
venderei vender+V+FUT+1+SG
venderemos vender+V+FUT+1+PL
venderem vender+V+SBJF+3+PL
venderes vender+V+SBJF+2+SG
venderíamos vender+V+COND+1+PL
venderiam vender+V+COND+3+PL
venderias vender+V+COND+2+SG
venderia vender+V+COND+1+SG
venderia vender+V+COND+3+SG
venderíeis vender+V+COND+2+PL
vendermos vender+V+SBJF+1+PL
vender vender+V+SBJF+1+SG
vender vender+V+SBJF+3+SG
vendêsseis vender+V+SBJP+2+PL
vendêssemos vender+V+SBJP+1+PL
vendessem vender+V+SBJP+3+PL
vendesses vender+V+SBJP+2+SG
vendesse vender+V+SBJP+1+SG
vendesse vender+V+SBJP+3+SG
vendes vender+V+PRS+2+SG
vende vender+V+PRS+3+SG
vendíamos vender+V+IMPF+1+PL
vendiam vender+V+IMPF+3+PL
vendias vender+V+IMPF+2+SG
vendia vender+V+IMPF+1+SG
vendia vender+V+IMPF+3+SG
vendíeis vender+V+IMPF+2+PL
vendo vender+V+PRS+1+SG
