age	agir+V+PRS+3+SG

agem	agir+V+PRS+3+PL

ages	agir+V+PRS+2+SG

agia	agir+V+IMPF+1+SG
agia	agir+V+IMPF+3+SG

agiam	agir+V+IMPF+3+PL

agíamos	agir+V+IMPF+1+PL

agias	agir+V+IMPF+2+SG

agíeis	agir+V+IMPF+2+PL

agimos	agir+V+PRS+1+PL

agir	agir+V+SBJF+1+SG
agir	agir+V+SBJF+3+SG

agira	agir+V+PQP+1+SG
agira	agir+V+PQP+3+SG

agirá	agir+V+FUT+3+SG

agiram	agir+V+PQP+3+PL

agíramos	agir+V+PQP+1+PL

agirão	agir+V+FUT+3+PL

agiras	agir+V+PQP+2+SG

agirás	agir+V+FUT+2+SG

agirdes	agir+V+SBJF+2+PL

agirei	agir+V+FUT+1+SG

agireis	agir+V+FUT+2+PL

agíreis	agir+V+PQP+2+PL

agirem	agir+V+SBJF+3+PL

agiremos	agir+V+FUT+1+PL

agires	agir+V+SBJF+2+SG

agiria	agir+V+COND+1+SG
agiria	agir+V+COND+3+SG

agiriam	agir+V+COND+3+PL

agiríamos	agir+V+COND+1+PL

agirias	agir+V+COND+2+SG

agiríeis	agir+V+COND+2+PL

agirmos	agir+V+SBJF+1+PL

agis	agir+V+PRS+2+PL

agisse	agir+V+SBJP+1+SG
agisse	agir+V+SBJP+3+SG

agísseis	agir+V+SBJP+2+PL

agissem	agir+V+SBJP+3+PL

agíssemos	agir+V+SBJP+1+PL

agisses	agir+V+SBJP+2+SG

aja	agir+V+SBJR+1+SG
aja	agir+V+SBJR+3+SG

ajais	agir+V+SBJR+2+PL

ajam	agir+V+SBJR+3+PL

ajamos	agir+V+SBJR+1+PL

ajas	agir+V+SBJR+2+SG

ajo	agir+V+PRS+1+SG

coça	coçar+V+PRS+3+SG

coçais	coçar+V+PRS+2+PL

coçam	coçar+V+PRS+3+PL

coçamos	coçar+V+PRS+1+PL

coçar	coçar+V+SBJF+1+SG
coçar	coçar+V+SBJF+3+SG

coçara	coçar+V+PQP+1+SG
coçara	coçar+V+PQP+3+SG

coçará	coçar+V+FUT+3+SG

coçaram	coçar+V+PQP+3+PL

coçáramos	coçar+V+PQP+1+PL

coçarão	coçar+V+FUT+3+PL

coçaras	coçar+V+PQP+2+SG

coçarás	coçar+V+FUT+2+SG

coçardes	coçar+V+SBJF+2+PL

coçarei	coçar+V+FUT+1+SG

coçareis	coçar+V+FUT+2+PL

coçáreis	coçar+V+PQP+2+PL

coçarem	coçar+V+SBJF+3+PL

coçaremos	coçar+V+FUT+1+PL

coçares	coçar+V+SBJF+2+SG

coçaria	coçar+V+COND+1+SG
coçaria	coçar+V+COND+3+SG

coçariam	coçar+V+COND+3+PL

coçaríamos	coçar+V+COND+1+PL

coçarias	coçar+V+COND+2+SG

coçaríeis	coçar+V+COND+2+PL

coçarmos	coçar+V+SBJF+1+PL

coças	coçar+V+PRS+2+SG

coçasse	coçar+V+SBJP+1+SG
coçasse	coçar+V+SBJP+3+SG

coçásseis	coçar+V+SBJP+2+PL

coçassem	coçar+V+SBJP+3+PL

coçássemos	coçar+V+SBJP+1+PL

coçasses	coçar+V+SBJP+2+SG

coçava	coçar+V+IMPF+1+SG
coçava	coçar+V+IMPF+3+SG

coçavam	coçar+V+IMPF+3+PL

coçávamos	coçar+V+IMPF+1+PL

coçavas	coçar+V+IMPF+2+SG

coçáveis	coçar+V+IMPF+2+PL

coce	coçar+V+SBJR+1+SG
coce	coçar+V+SBJR+3+SG

coceis	coçar+V+SBJR+2+PL

cocem	coçar+V+SBJR+3+PL

cocemos	coçar+V+SBJR+1+PL

coces	coçar+V+SBJR+2+SG

coço	coçar+V+PRS+1+SG

compra	comprar+V+PRS+3+SG

comprais	comprar+V+PRS+2+PL

compram	comprar+V+PRS+3+PL

compramos	comprar+V+PRS+1+PL

comprar	comprar+V+SBJF+1+SG
comprar	comprar+V+SBJF+3+SG

comprara	comprar+V+PQP+1+SG
comprara	comprar+V+PQP+3+SG

comprará	comprar+V+FUT+3+SG

compraram	comprar+V+PQP+3+PL

compráramos	comprar+V+PQP+1+PL

comprarão	comprar+V+FUT+3+PL

compraras	comprar+V+PQP+2+SG

comprarás	comprar+V+FUT+2+SG

comprardes	comprar+V+SBJF+2+PL

comprarei	comprar+V+FUT+1+SG

comprareis	comprar+V+FUT+2+PL

compráreis	comprar+V+PQP+2+PL

comprarem	comprar+V+SBJF+3+PL

compraremos	comprar+V+FUT+1+PL

comprares	comprar+V+SBJF+2+SG

compraria	comprar+V+COND+1+SG
compraria	comprar+V+COND+3+SG

comprariam	comprar+V+COND+3+PL

compraríamos	comprar+V+COND+1+PL

comprarias	comprar+V+COND+2+SG

compraríeis	comprar+V+COND+2+PL

comprarmos	comprar+V+SBJF+1+PL

compras	comprar+V+PRS+2+SG

comprasse	comprar+V+SBJP+1+SG
comprasse	comprar+V+SBJP+3+SG

comprásseis	comprar+V+SBJP+2+PL

comprassem	comprar+V+SBJP+3+PL

comprássemos	comprar+V+SBJP+1+PL

comprasses	comprar+V+SBJP+2+SG

comprava	comprar+V+IMPF+1+SG
comprava	comprar+V+IMPF+3+SG

compravam	comprar+V+IMPF+3+PL

comprávamos	comprar+V+IMPF+1+PL

compravas	comprar+V+IMPF+2+SG

compráveis	comprar+V+IMPF+2+PL

compre	comprar+V+SBJR+1+SG
compre	comprar+V+SBJR+3+SG

compreis	comprar+V+SBJR+2+PL

comprem	comprar+V+SBJR+3+PL

compremos	comprar+V+SBJR+1+PL

compres	comprar+V+SBJR+2+SG

compro	comprar+V+PRS+1+SG

paga	pagar+V+PRS+3+SG

pagais	pagar+V+PRS+2+PL

pagam	pagar+V+PRS+3+PL

pagamos	pagar+V+PRS+1+PL

pagar	pagar+V+SBJF+1+SG
pagar	pagar+V+SBJF+3+SG

pagara	pagar+V+PQP+1+SG
pagara	pagar+V+PQP+3+SG

pagará	pagar+V+FUT+3+SG

pagaram	pagar+V+PQP+3+PL

pagáramos	pagar+V+PQP+1+PL

pagarão	pagar+V+FUT+3+PL

pagaras	pagar+V+PQP+2+SG

pagarás	pagar+V+FUT+2+SG

pagardes	pagar+V+SBJF+2+PL

pagarei	pagar+V+FUT+1+SG

pagareis	pagar+V+FUT+2+PL

pagáreis	pagar+V+PQP+2+PL

pagarem	pagar+V+SBJF+3+PL

pagaremos	pagar+V+FUT+1+PL

pagares	pagar+V+SBJF+2+SG

pagaria	pagar+V+COND+1+SG
pagaria	pagar+V+COND+3+SG

pagariam	pagar+V+COND+3+PL

pagaríamos	pagar+V+COND+1+PL

pagarias	pagar+V+COND+2+SG

pagaríeis	pagar+V+COND+2+PL

pagarmos	pagar+V+SBJF+1+PL

pagas	pagar+V+PRS+2+SG

pagasse	pagar+V+SBJP+1+SG
pagasse	pagar+V+SBJP+3+SG

pagásseis	pagar+V+SBJP+2+PL

pagassem	pagar+V+SBJP+3+PL

pagássemos	pagar+V+SBJP+1+PL

pagasses	pagar+V+SBJP+2+SG

pagava	pagar+V+IMPF+1+SG
pagava	pagar+V+IMPF+3+SG

pagavam	pagar+V+IMPF+3+PL

pagávamos	pagar+V+IMPF+1+PL

pagavas	pagar+V+IMPF+2+SG

pagáveis	pagar+V+IMPF+2+PL

pago	pagar+V+PRS+1+SG

pague	pagar+V+SBJR+1+SG
pague	pagar+V+SBJR+3+SG

pagueis	pagar+V+SBJR+2+PL

paguem	pagar+V+SBJR+3+PL

paguemos	pagar+V+SBJR+1+PL

pagues	pagar+V+SBJR+2+SG

parta	partir+V+SBJR+1+SG
parta	partir+V+SBJR+3+SG

partais	partir+V+SBJR+2+PL

partam	partir+V+SBJR+3+PL

partamos	partir+V+SBJR+1+PL

partas	partir+V+SBJR+2+SG

parte	partir+V+PRS+3+SG

partem	partir+V+PRS+3+PL

partes	partir+V+PRS+2+SG

partia	partir+V+IMPF+1+SG
partia	partir+V+IMPF+3+SG

partiam	partir+V+IMPF+3+PL

partíamos	partir+V+IMPF+1+PL

partias	partir+V+IMPF+2+SG

partíeis	partir+V+IMPF+2+PL

partimos	partir+V+PRS+1+PL

partir	partir+V+SBJF+1+SG
partir	partir+V+SBJF+3+SG

partira	partir+V+PQP+1+SG
partira	partir+V+PQP+3+SG

partirá	partir+V+FUT+3+SG

partiram	partir+V+PQP+3+PL

partíramos	partir+V+PQP+1+PL

partirão	partir+V+FUT+3+PL

partiras	partir+V+PQP+2+SG

partirás	partir+V+FUT+2+SG

partirdes	partir+V+SBJF+2+PL

partirei	partir+V+FUT+1+SG

partireis	partir+V+FUT+2+PL

partíreis	partir+V+PQP+2+PL

partirem	partir+V+SBJF+3+PL

partiremos	partir+V+FUT+1+PL

partires	partir+V+SBJF+2+SG

partiria	partir+V+COND+1+SG
partiria	partir+V+COND+3+SG

partiriam	partir+V+COND+3+PL

partiríamos	partir+V+COND+1+PL

partirias	partir+V+COND+2+SG

partiríeis	partir+V+COND+2+PL

partirmos	partir+V+SBJF+1+PL

partis	partir+V+PRS+2+PL

partisse	partir+V+SBJP+1+SG
partisse	partir+V+SBJP+3+SG

partísseis	partir+V+SBJP+2+PL

partissem	partir+V+SBJP+3+PL

partíssemos	partir+V+SBJP+1+PL

partisses	partir+V+SBJP+2+SG

parto	partir+V+PRS+1+SG

protege	proteger+V+PRS+3+SG

protegeis	proteger+V+PRS+2+PL

protegem	proteger+V+PRS+3+PL

protegemos	proteger+V+PRS+1+PL

proteger	proteger+V+SBJF+1+SG
proteger	proteger+V+SBJF+3+SG

protegera	proteger+V+PQP+1+SG
protegera	proteger+V+PQP+3+SG

protegerá	proteger+V+FUT+3+SG

protegeram	proteger+V+PQP+3+PL

protegêramos	proteger+V+PQP+1+PL

protegerão	proteger+V+FUT+3+PL

protegeras	proteger+V+PQP+2+SG

protegerás	proteger+V+FUT+2+SG

protegerdes	proteger+V+SBJF+2+PL

protegerei	proteger+V+FUT+1+SG

protegereis	proteger+V+FUT+2+PL

protegêreis	proteger+V+PQP+2+PL

protegerem	proteger+V+SBJF+3+PL

protegeremos	proteger+V+FUT+1+PL

protegeres	proteger+V+SBJF+2+SG

protegeria	proteger+V+COND+1+SG
protegeria	proteger+V+COND+3+SG

protegeriam	proteger+V+COND+3+PL

protegeríamos	proteger+V+COND+1+PL

protegerias	proteger+V+COND+2+SG

protegeríeis	proteger+V+COND+2+PL

protegermos	proteger+V+SBJF+1+PL

proteges	proteger+V+PRS+2+SG

protegesse	proteger+V+SBJP+1+SG
protegesse	proteger+V+SBJP+3+SG

protegêsseis	proteger+V+SBJP+2+PL

protegessem	proteger+V+SBJP+3+PL

protegêssemos	proteger+V+SBJP+1+PL

protegesses	proteger+V+SBJP+2+SG

protegia	proteger+V+IMPF+1+SG
protegia	proteger+V+IMPF+3+SG

protegiam	proteger+V+IMPF+3+PL

protegíamos	proteger+V+IMPF+1+PL

protegias	proteger+V+IMPF+2+SG

protegíeis	proteger+V+IMPF+2+PL

